Country,LAT,LONG,ALT_NAME,FULL_NAME,2000 Female,2000 Male,2010 Female,2010 Male,2012 Female,2012 Male,2013 Female,2013 Male,2015 Female,2015 Male
Tonga,-20,-175,Tonga,Kingdom of Tonga,19.4,15.7,19.1,15.6,11.4,14.2,10.8,13.4,18.4,15
Trinidad and Tobago,11,-61,Trinidad and Tobago,Republic of Trinidad and Tobago,25.8,31.4,21.2,25.9,18.5,22.8,19.1,23.4,18.2,22.4
Tunisia,34,9,Tunisia,Tunisian Republic,28.7,34.6,15.7,18.9,14.6,17.4,13.9,16.4,12.7,15.3
Turkey,39.059012,34.911546,Turkey,Republic of Turkey,36.8,42.2,17.5,20.7,12.8,15.6,17.4,21,12.4,14.6
Turkmenistan,40,60,Turkmenistan,Turkmenistan,70.6,91.8,51.4,68.2,45.1,60.3,47.3,62.5,43.9,58.5
Tuvalu,-8,178,Tuvalu,Tuvalu,39.3,45.7,28.8,34.3,26.8,32.5,26.3,32,24.6,29.5
Uganda,2,33,Uganda,Republic of Uganda,136.5,159.8,68.2,81.7,62.4,75.1,59.7,72,49.1,59.9
Ukraine,49,32,Ukraine,Ukraine,16.4,20.4,10.5,13,9.4,12,8.9,11,8.1,9.9
United Arab Emirates,24,54,United Arab Emirates,United Arab Emirates,9.8,12.4,7.6,9.4,7.5,9.3,7.3,9.1,6.1,7.5
United Kingdom,54,-4,United Kingdom,United Kingdom of Great Britain and Northern Ireland,5.8,7.2,4.7,5.7,4.3,5.3,4.1,5,3.8,4.7
Tanzania,-6,35,Tanzania,United Republic of Tanzania,124.9,136,59.4,67.2,50.2,57.6,48.1,55.4,45,52.1
United States,39.828175,-98.5795,United States,United States of America,7.6,9.3,6.7,8.1,6.4,7.8,6.2,7.5,5.9,7.1
Uruguay,-33,-56,Uruguay,Oriental Republic of Uruguay,14.9,18.7,11.1,13.5,6.5,7.8,10,12.1,9.1,11.1
Uzbekistan,41.707542,63.84911,Uzbekistan,Republic of Uzbekistan,55.5,70.7,40,51.8,33.9,45,36.8,-9999,33.9,44.1
Vanuatu,-16,167,Vanuatu,Republic of Vanuatu,25.9,30.8,26.1,30.8,16,19.7,15,18.8,25.2,29.8
Venezuela,8,-66,Venezuela,Bolivarian Republic of Venezuela,19,24.1,14.6,18.5,13.4,17,13.2,16.6,13.2,16.6
Vietnam,16.166667,107.833333,Vietnam,Socialist Republic of Vietnam,29.2,38.1,21.3,28.2,19.9,25.9,20.5,26.9,18.7,24.6
Yemen,15.5,47.5,Yemen,Republic of Yemen,90.6,99.9,50.2,58.1,55.5,64.2,47.1,55.2,38.3,45.5
Zambia,-15,30,Zambia,Republic of Zambia,154,171.8,76.2,87.8,82.8,94.1,81.5,93.1,58.9,68.9
Zimbabwe,-19,29,Zimbabwe,Republic of Zimbabwe,98.4,113,83,95.7,83,96,81.8,94.8,64.9,76.1
